7:239,1762,616,861,495,29,1023,866,1140,138
18:534,43893,1550,54354,4800,1486,138,21828,63512,1136
19:19480,47812,17,302,654,76,616,58,8,866
36:2162,29,1382,70,891,1023,6450,84,1344,2935
37:65,10520,57491,16288,1239,296,6009,73168,9617,84
41:4499,356,14202,18867,3890,1462,1960,888,3213,36176
42:7451,131,3642,84,518,3824,2193,35036,62137,14202
43:58,138,899,2983,1187,76,302,654,40,29
44:1217,2316,26042,97,2338,5413,5710,15,1550,32
45:19829,14021,74038,11557,347,12216,79096,78352,33237,26793
46:18256,109,7506,45422,46215,19431,38663,1709,13771,32278
59:37900,119,16134,29709,1039,48343,11824,888,483,1102
60:6848,6011,76,302,546,162,29,726,495,1476
69:1217,813,14551,9931,5465,8276,559,31063,16319,361
70:899,546,1187,302,239,76,654,254,30,29
94:12066,119,9617,6270,20553,95138,11174,8276,85755,6175
106:14202,67595,32,15583,5000,3736,26915,5022,931,70065
115:709,1360,966,2982,2816,289,1140,1239,861,15
116:834,29001,2028,45388,891,2548,1744,441,2935,226
142:454,19984,296,18867,1965,8487,5176,709,394,29310
143:49245,86747,483,591,3231,5746,394,34178,15754,28956
148:6024,378,5545,1405,5103,18867,46215,1790,8511,32166
150:861,289,101,554,1549,5575,84,1180,1102,736
156:7029,568,356,239,15141,18876,97703,999,1089,3
161:1403,179,1926,13062,12259,1039,9581,616,29,84
171:28641,239,861,289,726,1476,162,101,76,650
172:1937,1217,483,138,861,162,1140,495,654,58
174:20582,38437,19585,57606,2233,3233,373,4364,15861,12222
177:29,642,3234,1476,654,1140,76,84,568,97
196:650,427,3476,4578,17164,289,101,508,29,1023
202:220,138,1102,245,1804,726,1382,554,749,302
211:481,7466,9559,122005,53187,17822,12115,23147,3560,95581
217:17,55991,167,7210,1902,546,3824,9885,4268,6534
220:7649,40356,45641,39446,10178,58738,64973,46421,88939,1812
223:119,559,167,58,2030,103,1089,546,73,239
224:4797,601,4589,353,6408,584,1951,8694,8935,44267
225:353,32619,3476,138,15,1187,239,1499,1119,2733
228:650,254,568,616,3017,402,114,483,302,19668
229:2068,1410,361,508,861,787,94,358,101,1804
231:2904,94,901,239,119,1091,866,70,301,138
232:41443,37449,48256,48718,60364,62228,108129,73208,78975,99135
238:26712,42397,1744,4421,4856,9055,62328,22915,23959,13814
241:7973,29,1239,61,289,239,58,554,84,1822
245:40012,2677,16786,14059,12895,8588,62162,35859,1558,81
249:8483,91955,546,254,5117,1499,70,8,1180,302
250:285,2031,3250,29,1511,358,787,8,356,1109
253:189,1206,4568,7831,10687,20806,678,19596,6266,23884
257:354,296,65,709,861,1239,101,289,554,3234
272:239,1102,3234,866,29,301,70,224,361,273
273:967,301,101,289,861,554,32,327,76,736
288:116,5998,1548,699,301,1109,1140,29,449,364
290:13501,18867,94,1382,138,834,380,986,901,76
291:16625,61628,9581,5006,902,76,5998,1050,23494,564
292:10930,58,138,361,289,483,1462,1140,1476,616
294:1102,861,289,899,363,101,554,76,97,354
328:239,302,866,654,616,84,58,29,650,8
331:3234,302,4181,8,2338,690,813,76,84,239
345:11401,62840,29573,1754,77581,3250,92129,28511,33223,83173
361:239,29,1762,3234,495,1476,45,546,1086,8
376:8683,395,3,1140,45,3730,650,17,76,273
384:1979,4940,1684,616,654,101,591,554,409,8
401:19431,14202,1009,354,1102,356,58,29,32,899
402:16056,4793,3304,239,289,861,101,3234,726,8
410:574,378,4755,984,8860,7711,760,7831,354,801
448:598,17532,53377,518,1804,245,1549,58,472,119
449:11484,65,5214,54210,1039,94,899,18391,52345,30730
450:559,5567,8105,116,9525,193,25061,53377,990,8276
452:749,7264,15808,74916,50599,36183,56536,86436,112343,17100
476:8213,398,69277,12386,15424,6164,47309,7556,16954,16784
488:3304,43182,4478,1548,376,1196,508,616,86,94
490:354,289,101,138,15,32,554,2618,394,1382
494:356,1212,9942,6923,10066,11,14202,45,616,29
500:14750,8861,17,302,76,654,409,616,3448,84
514:5214,8276,18287,1549,1109,364,97,1693,11355,17
525:116,302,29,1187,875,70,239,402,84,354
535:861,101,1102,3234,1476,289,239,554,1140,866
536:97,813,8276,508,94,29,901,483,8,866
538:5258,10269,1102,239,2937,302,394,616,654,999
539:7409,14202,1039,29,508,61,32,787,861,84
564:1891,97,709,86763,65,518,861,508,3234,32
582:1550,239,29,899,138,32,2618,3234,1102,354
585:185,17,1099,1744,1499,1002,1951,4204,6455,4138
590:2073,11108,29,101,1762,861,356,239,554,76
601:31717,27912,69110,48912,67228,75023,18245,90819,105155,90054
618:221,15141,7806,986,564,58,28926,1462,7264,500
624:3915,5450,17,1499,3190,1589,76,4261,302,4755
627:9761,6475,947,1077,7088,122655,77531,31221,15675,120390
628:6526,21488,39233,65861,75280,84119,608,17,302,654
632:1276,42713,59361,168,719,16386,353,70,3137,219
633:1039,138,61,508,289,554,239,364,76,1550
634:4697,3423,22689,2241,1884,3137,367,5767,780,7211
646:20382,20467,1155,4880,2389,546,56260,1913,1200,5465
666:10192,4510,1340,6951,311,1875,59936,16036,10981,4696
667:1405,37653,2200,1287,3304,1152,1521,119,131,4174
669:14435,111861,2337,500,46525,29019,2614,16439,117496,42575
678:720,901,21462,1535,30911,76,22518,65,1102,302
680:65,559,138,29,483,289,101,58,554,1462
681:8786,46215,6411,1744,2153,10316,9417,16036,13016,1340
682:9491,2614,26376,19236,18867,14498,40716,709,44,336
683:69187,97127,71448,45128,112536,27552,866,1535,103,226
684:2103,877,16381,11984,574,14754,1099,1460,5783,5480
715:14375,12861,59850,1547,61368,21966,4671,81,101827,36991
716:17480,2030,7178,84,117515,7010,56166,331,76,1196
741:301,1803,8860,4792,760,10778,7711,4394,2685,364
750:559,1382,2369,34508,1217,84361,14129,19963,65199,2200
754:356,2085,709,4034,8546,18867,101326,70,58,554
756:285,8105,1217,3234,1476,289,495,101,554,1535
757:470,17,616,1535,45,2944,3599,2953,122,4326
758:1109,356,4374,407,1240,10046,15676,19354,15,14151
763:354,40704,84,29,289,1140,1239,101,1476,554
773:28635,3141,76,94677,1550,7742,1102,6149,224,398
774:65,521,116,1245,4669,2021,76,4328,518,35905
775:559,13070,8683,1102,546,15,554,179,101,1476
782:29709,71891,1825,7145,1039,9617,103144,931,72666,119
784:5159,14202,508,101,285,861,162,354,94,483
793:3250,398,709,4756,40393,3448,116,13636,15937,3628
803:4420,6450,6945,138,15242,947,1100,3389,94,2618
813:35068,8276,289,101,1804,554,1109,138,97,354
815:749,138,354,3137,76,239,1344,394,1578,731
817:749,239,1102,866,1499,3730,70,486,138,3348
818:12657,7235,574,1790,7711,2642,9417,2153,10267,2460
823:1744,71891,28,14498,21145,94,2028,2275,1023,565
825:3632,77914,1102,29,103,508,94,1126,1382,518
833:2369,1410,1548,17164,220,559,2982,3632,6759,402
835:8276,138,356,101,1804,239,97,394,5998,76
838:8066,84808,45281,28371,113566,65469,2265,59116,2715,17077
844:239,861,94,546,736,1762,301,449,3234,542
850:546,354,866,17,254,76,302,2265,84,358
856:598,13498,5567,1958,19984,18505,709,73474,1101,364
857:709,3476,239,289,101,861,495,726,554,356
874:19669,1696,81912,9617,296,932,21145,508,431,5567
891:254,17,302,654,361,76,58,29,354,84
899:1815,10930,709,5567,1410,94,5117,354,654,119
900:3634,10342,15395,3180,6098,4126,8209,3829,31369,29808
911:1023,58041,45123,87631,4159,10048,1550,4880,7851,19872
918:2917,361,94,15,327,1023,1499,8,866,4697
925:13901,14328,370,7407,1091,28072,29,1136,6,289
926:7973,116,19963,239,861,394,1140,3234,3,354
937:776,61146,3485,3915,23122,5998,361,1762,875,518
949:1790,10376,17,302,654,76,616,58,8,866
964:5117,2403,15235,48,5108,4542,2935,1825,3207,3434
970:5998,83571,2656,36227,39096,14636,9093,50946,3535,82094
977:6957,1217,709,11154,301,554,1804,394,354,356
981:4513,14955,4715,1340,94,4696,802,18783,508,5122
982:15242,6450,646,2935,20697,4420,6103,29,866,94
984:395,4268,1572,21899,1109,709,15,1217,29,2024
992:2068,3939,119,378,3423,441,3137,2967,5860,780
993:18057,239,29,254,361,301,224,736,4093,9581
998:6573,138,61,29,873,1382,94,650,302,97
1000:65,3233,14202,709,354,101,29,1109,861,1102
1007:356,116,709,289,32,554,101,29,1140,1550
1027:9417,14593,9874,1013,4792,19962,3211,2103,2318,801
1028:1762,2626,3730,342,2669,866,650,9581,301,138
1044:1874,4288,84,654,616,58,302,696,29,17480
1045:559,356,65,861,289,1140,1109,508,101,518
1049:10048,5287,1069,2414,6303,187,11429,7375,1501,4880
1068:81,364,40,1069,5292,4422,1784,9572,15,653
1069:749,1187,1217,28684,875,14202,301,101,1140,138
1070:1405,56,18315,32743,5553,93265,394,6,902,58
1082:15141,138,301,483,239,101,394,1476,84,395
1083:1034,17,302,654,8,394,650,1109,518,1276
1088:12442,6809,23266,119,2982,10046,3642,564,3233,1987
1094:1039,16319,508,61,899,58,2200,546,554,29
1116:65,736,931,1164,1023,239,866,70,1102,76
1121:17,70332,19122,654,568,16476,99297,1372,273,1578
1125:84,278,2982,1039,3191,829,866,138,1462,2618
1127:1703,427,20505,65,1382,1023,1109,58,3250,302
1132:861,2200,2626,5286,1009,542,8,518,138,394
1133:497,3476,14202,508,1102,32,899,861,1023,1382
1140:58,302,294,29,726,1089,2166,5495,954,354
1141:9594,3739,1790,82205,3137,358,654,70,1099,986
1148:5356,1176,5975,89979,99417,11977,6774,26360,25380,2406
1153:6968,26460,58,29,654,15,289,238,1102,3234
1163:1097,23581,17,302,654,76,616,58,8,866
1166:986,1119,4364,84,1535,353,1126,999,70,546
1172:889,7984,56962,24429,302,1109,518,103,58,1287
1192:29,58,1102,101,138,1239,554,94,495,76
1204:3632,302,1180,650,29,17,301,76,568,354
1208:239,162,395,3,273,1313,9793,72204,17,511
1209:1218,28541,986,17,94,2140,1764,1644,356,30
1234:38251,1410,63775,65983,596,6810,5604,1205,50263,827
1236:65,54784,95019,1030,6759,6793,931,84,5346,947
1245:65,131,1187,873,239,947,6793,2162,363,301
1263:1384,8683,861,1140,32,3234,289,101,650,542
1267:73,490,2868,1567,2200,46721,6485,1960,22723,29552
1269:4021,23191,21771,11725,7859,8225,3107,4568,5624,20806
1288:67016,31508,1017,57908,109653,74535,73561,94291,109663,114791
1295:1155,6759,22606,8730,1719,15,76,1239,394,1140
1296:709,1462,591,861,449,44,866,211,2024,736
1302:709,289,866,101,1804,554,1140,239,162,726
1305:28,239,861,84,591,76,650,2626,866,354
1342:9581,17,5998,76,302,902,84,616,564,654
1382:11243,2200,899,654,84,48,873,1102,3304,2583
1389:75115,61636,56417,36171,95032,33995,518,4245,1462,1305
1391:26376,116500,38549,70612,104871,66418,3334,26434,16823,780
1397:11772,17071,7585,7211,3374,3718,3939,16680,2241,13544
1402:1102,239,48,3234,495,866,901,354,1462,650
1405:106442,4697,24722,96890,92558,17,302,654,76,616
1407:1324,84377,302,17,495,2770,1245,616,58,9232
1408:17,9581,9024,12223,1985,70,29,354,564,358
1409:179,387,908,508,356,3234,101,239,1476,495
1412:2013,449,1693,1462,866,650,8,1762,1102,521
1413:116,3250,289,508,861,1476,101,162,239,726
1418:1405,1684,138,289,861,3233,94,554,239,76
1419:4568,6434,23191,7831,19390,11725,7880,12016,119,14401
1420:179,1762,1187,239,29,1119,866,354,508,2618
1427:4203,1344,4187,3159,3476,10856,427,14202,18867,1140
1430:58,1196,3057,2657,4522,6346,766,591,1424,11459
1431:285,3234,162,1476,554,495,726,1023,76,8
1435:1930,967,29,138,508,354,101,402,358,289
1437:357,6303,5857,776,356,9043,358,6190,2292,650
1441:6559,67843,52711,25679,80319,7211,95475,23529,21193,17956
1447:18867,2121,375,128,511,26062,4499,5567,1794,1109
1448:13895,11973,77410,43332,6559,30788,431,105026,65873,42095
1457:322,769,40538,581,5809,901,1764,38376,15836,39649
1458:11522,15,10520,14330,6793,32902,466,1009,73472,6376
1469:12259,32741,394,361,289,101,1089,58,358,1476
1477:22136,6527,6450,94,571,4604,947,633,508,2200
1486:17622,45287,21193,14147,15623,2265,1913,56123,8783,5557
1490:65,10973,546,1475,1023,2024,58,6793,500,616
1491:239,3234,1476,866,84,568,138,301,6849,736
1500:2101,1196,5103,787,861,633,58,472,518,953
1503:454,239,1140,101,289,1762,3234,1476,554,495
1517:27097,80218,95331,111233,708,17,302,654,76,95964
1518:65,2583,431,1109,2163,1126,3704,80448,5753,542
1535:28505,3841,13739,6673,7194,4724,3476,24676,2094,59722
1551:8276,162,3234,554,1476,1140,1462,518,3,650
1552:10906,29723,19245,15294,13992,110189,89980,3423,9095,1749
1553:518,8683,58,483,8,302,1089,2338,616,356
1559:5991,302,289,1140,239,29,726,101,1550,650
1560:27251,10323,85755,3297,17164,116,4958,7409,9914,13917
1561:41961,1023,813,4174,19984,8868,2816,9617,2588,11720
1562:709,6809,5465,289,1102,15,508,101,564,787
1569:986,3271,22699,5254,61052,2967,3756,226,104312,23600
1570:18835,17123,7905,27705,7841,54038,43893,22885,470,1086
1588:3886,46420,50311,97112,91208,80185,41429,53,155,947
1589:1217,42489,86063,508,94,1023,616,84,58,1405
1591:35798,62108,69776,17,302,654,76,616,58,8
1601:3841,749,6590,2311,1449,357,12445,9019,2021,224
1602:16056,185,1744,1382,1065,1764,18070,774,1190,3661
1629:559,1410,1039,119,518,61,358,5117,138,891
1634:9662,15180,42089,8337,10783,26131,39464,103647,8066,862
1642:1102,301,101,138,289,508,861,354,1089,239
1653:23813,736,302,29,101,1804,554,999,1089,76
1654:25164,9789,8105,101,518,546,94,394,179,726
1655:16514,1009,70,361,162,29,289,138,3234,1476
1668:6855,43182,143,15522,29,289,354,101,76,84
1681:518,3915,29,32,179,1126,1476,866,84,81
1703:116,7312,20192,709,650,302,2200,32,29,1050
1721:4967,34700,4697,119968,96,42441,5117,6496,9154,15334
1727:5315,68712,1444,654,483,2030,3234,650,1208,17
1728:239,3234,1476,656,302,866,3730,76,301,138
1745:1287,1382,302,1089,1410,14960,76,84,1133,58
1746:101,17,1567,2200,616,1624,1471,58,542,650
1751:19552,51158,427,14202,54638,36507,1539,1127,4481,3808
1756:944,1102,726,493,7535,179,1403,4174,690,568
1758:1220,394,162,402,1550,891,8,3017,542,2168
1761:6379,42190,45169,94836,101433,30210,34553,70173,103292,19433
1767:239,3234,1187,875,901,866,354,891,301,138
1779:1674,8635,17395,67185,86913,93631,65741,56748,93097,103533
1780:88524,10246,104391,120791,13960,102096,1772,49329,1675,9354
1783:7407,483,17,861,354,11459,650,29,356,97
1787:19442,1217,239,32,101,289,1476,29,361,1762
1788:2379,1790,32166,2967,1884,2241,140,1555,780,1888
1794:1930,1832,427,402,2030,245,508,483,1403,518
1796:10012,2770,2166,29,361,861,32,363,1239,546
1803:709,394,508,94,1499,2024,866,84,70,32
1820:65,7880,1206,1923,7859,6601,10687,23191,7457,7831
1821:2770,14202,2302,84,1009,61,364,1102,5117,1822
1822:6957,10560,3476,2976,354,402,138,32,861,162
1823:1220,39119,84,138,289,1140,787,394,726,1832
1840:1009,60,301,508,162,61,1239,2618,3234,239
1841:9491,13194,3709,7994,13534,2642,2582,3211,1069,801
1842:554,1804,58,114,633,3730,76,1795,354,542
1850:28,999,616,470,84,902,17,29,866,76
1853:7037,302,953,7546,1382,398,431,546,22,650
1854:2848,1387,1039,1744,303,46215,861,289,97,101
1862:5319,3915,57158,119,65,1102,138,508,554,2618
1880:1023,4420,6945,14370,947,2935,94,354,4299,866
1883:1204,3915,4502,13063,31686,302,2200,899,1471,17370
1890:990,14750,8861,776,8197,654,3448,239,4203,299
1891:4828,4169,5673,239,486,1102,17,302,273,84
1893:185,6011,999,357,4919,610,656,394,96,944
1894:18287,29,508,361,32,1109,2139,431,96,1382
1911:5319,9127,10348,741,29000,13581,8345,13392,22420,78658
1912:138,986,1475,803,2024,2233,76,1462,650,29
1913:2644,813,76,223,8,18062,29,7409,1832,84
1930:48930,7160,63563,6754,12761,33763,24752,103724,20411,465
1932:30513,95798,33562,890,3568,5097,4743,18425,10254,33321
1950:3465,4254,14202,1548,861,508,162,1239,554,32
1951:5182,1360,87557,122274,98617,2121,59310,9345,23464,1099
1952:289,3234,239,162,1476,101,554,76,866,1102
2005:356,1217,65726,119,8868,518,1102,101,285,554
2017:26739,13894,47586,44039,58208,23213,11246,107733,101380,123006
2025:923,18512,18781,61580,31848,5415,10075,17,3485,10007
2030:568,731,3374,3516,6254,2241,8588,3103,16680,518
2034:6186,9914,22904,104789,58219,119,57937,1352,1991,13660
2038:8881,25769,568,45,74977,301,76,1267,302,1550
2046:11910,17,14117,13667,91537,75233,5522,8038,25662,9101
2058:12597,88234,65161,52829,55235,12495,8794,16147,25649,102397
2068:3728,5567,1451,9617,1800,1405,3476,559,17,2233
2070:726,510,568,654,690,5553,542,15,944,273
2071:17123,12042,2085,2906,14202,559,650,239,80638,33344
2072:4364,1102,1119,302,239,2162,654,875,616,76
2074:924,4660,7926,7391,2345,24454,3741,1410,1164,311
2075:548,3476,28,302,18291,6759,645,2223,1631,2514
2076:11508,17,302,654,76,616,58,8,866,84
2077:656,10930,8483,29,508,546,1102,162,94,616
2080:356,16104,861,101,29,289,402,76,650,4181
2085:1382,16625,3551,11720,89092,829,3476,12133,913,94
2097:65,559,709,967,18867,124,138,289,1086,1164
2112:2153,5480,546,1499,76,84,29,3915,7235,70
2115:119,65,564,1168,76,616,58,999,650,81
2116:999,5857,105,4502,103403,496,1050,102776,65381,472
2123:65,1102,29,4420,873,1499,866,138,76,650
2135:1359,1966,5767,2379,1382,94,3423,500,3017,650
2141:65080,3423,31978,1069,34319,40,780,710,4194,1468
2147:16911,3448,3791,24718,7682,10007,40393,10075,3250,398
2154:32577,2677,12657,5010,2103,8860,2888,9783,7711,72
2160:4174,15,322,188,30094,301,285,861,554,1804
2162:2012,661,9265,9417,719,5480,463,10267,6097,1528
2170:709,394,289,690,302,29,1804,483,650,76
2177:14500,459,54962,46328,4009,14431,22279,57637,3329,59341
2184:11522,13683,58,1476,1239,3,289,2868,616,1348
2185:394,486,616,354,4171,430,361,388,542,508
2187:8660,17,302,654,76,616,58,8,866,84
2211:5111,27070,15772,197,4626,27094,4755,441,866,1002
2223:533,6916,17403,5812,2292,14435,986,3423,866,76
2243:119,559,1744,4364,431,947,656,48,131,6527
2244:9943,699,1405,124,1548,3915,58,29,138,356
2247:554,6,3250,116,1119,29,302,48,239,1023
2250:49715,71709,22792,135,2259,4103,5488,5480,11255,9417
2253:5103,1790,653,986,3516,2204,2967,3819,16680,13544
2260:23423,17,302,654,76,616,58,8,866,84
2261:9525,8276,1631,58,1102,29,15,138,94,101
2262:96,17,302,654,76,616,58,1102,8,866
2290:94,19197,15,1382,8276,2085,285,65,1332,2061
2291:13636,554,29,101,866,32,1102,1578,301,8
2293:84198,4907,236,58,5010,36227,999,25138,4613,116694
2301:17,4032,14018,429,3619,27698,1036,94232,42004,83587
2302:16229,15642,39395,70923,17,103752,64614,98258,482,1728
2304:2153,9874,7180,760,1124,2582,3348,9417,76,1528
2318:353,3234,23243,1217,12612,3476,116,8276,19963,1548
2325:875,239,999,866,61,650,29,58,48,736
2335:356,1119,15510,17,289,138,508,596,239,302
2343:73935,21567,106917,10180,15299,19561,26302,55516,53364,302
2346:1218,17,76,70,986,302,654,616,1884,1462
2347:2186,58282,64260,20207,52756,78503,109758,34298,24792,100785
2348:1888,179,54357,1874,829,5542,70,17,94,1866
2362:17,302,654,1462,76,616,58,8,866,84
2363:8276,101,289,97,554,813,3730,4813,1180,3146
2364:2655,239,101,554,3730,866,301,736,70,361
2369:6098,5638,11644,8209,24211,3180,37386,2934,4126,14964
2373:49219,953,999,7806,9581,1891,866,17,564,736
2381:1109,17431,29,394,239,726,2618,431,495,837
2382:12776,1173,7333,25733,8587,119,83431,1820,70955,13147
2384:6945,4420,7506,15242,947,2935,70,4299,94,354
